 FACTOR  RND     CCT     QCT
 0.001   27.77   26.91   27.03
 .0032   27.75   26.91   27.18
  0.01   27.76   27.06   27.02
 .0316    27.7   27.04    27.1
   0.1   27.75   27.03   27.07
 .3162   27.72   26.91   26.98
   1.0   27.77   26.76   26.64
 3.162   27.78   26.21   25.99
  10.0   27.78   25.66   25.53
 31.62   27.77   25.57    25.4
 100.0   27.72   25.62   25.51
