 FACTOR  RND     CCT     QCT
 0.001   28.38   27.32   27.27
 .0032   28.43    27.1   27.16
  0.01   28.43   27.14    27.2
 .0316   28.36   27.11   27.23
   0.1   28.45   27.18   27.22
 .3162   28.35   27.14   27.09
   1.0   28.34   26.92   26.65
 3.162    28.4   26.35   25.99
  10.0    28.4    25.7   25.57
 31.62   28.31   25.51   25.46
 100.0    28.4   25.82   25.61
