 FACTOR  RND     CCT     QCT
 0.001   29.25   27.52   27.39
 .0032   29.23   27.58   27.35
  0.01    29.3   27.59   27.45
 .0316   29.28   27.42   27.41
   0.1   29.27   27.44   27.45
 .3162    29.3   27.22   27.25
   1.0   29.27   27.03   26.87
 3.162    29.3   26.53   26.25
  10.0   29.28    25.8   25.84
 31.62   29.28   25.85   25.93
 100.0   29.28   26.12   26.08
