SAMPLES RANDOM UCT VCT VRT CRT OPT
50 64.28 60.15 57.3 60.78 59.91 32.2
65 59.65 54.89 51.84 57.59 54.86 32.2
84 54.85 50.64 48.57 53.48 51.01 32.2
109 50.46 47.47 44.88 51.5 47.52 32.2
142 47.66 43.89 42.96 48.0 45.78 32.2
185 45.17 41.59 40.74 45.72 42.38 32.2
240 42.13 39.7 38.63 43.14 40.84 32.2
312 40.44 37.73 36.98 41.79 39.08 32.2
406 38.24 36.19 35.59 41.09 36.98 32.2
