 FACTOR  RND     RCT     UCT     GCT     QCT
 0.001   48.03   44.68   45.64   44.36   44.19
 .0032   47.88   44.39   45.76   44.82    44.0
  0.01   48.56   44.48   45.79   45.01    44.2
 .0316   47.55   44.49   45.99   44.63   44.18
   0.1    48.0   44.44   45.91   44.69   43.96
 .3162   48.54   44.57   45.62   44.84   44.14
   1.0   48.55   44.49   45.06   44.57   43.94
 3.162   47.91   44.88   44.85   44.93   43.98
  10.0   48.35   45.08   44.87   44.82   44.34
 31.62   48.03   45.97   45.49   46.66   45.49
