SAMPLES RND RCT UCT GCT QCT
100 50.7 48.99 47.195 48.105 46.92
141 49.79 47.51 46.585 46.02 45.58
199 49.39 46.12 45.895 45.475 45.0
281 48.875 45.15 45.92 45.09 44.43
397 48.03 44.53 45.63 44.82 44.16
561 47.56 44.285 45.32 44.33 43.97
793 46.935 44.175 45.29 44.255 44.005
1121 46.585 44.05 45.22 44.055 43.915
1585 46.225 43.885 45.03 43.9 44.0
