SAMPLES RND UCT GCT QCT
20 230.7 129.2 137.9 136.5
28 204.4 121.5 130.4 124.0
40 183.9 110.1 112.9 112.6
57 163.7 104.0 106.3 105.3
81 152.2 95.21 95.87 96.41
115 136.1 91.23 88.64 93.76
163 121.9 86.17 79.38 87.79
231 116.6 83.62 72.38 84.04
327 102.1 81.09 66.88 80.49
462 93.38 75.57 62.24 74.08
653 87.08 74.83 58.47 69.62
923 80.44 72.72 55.32 66.67
1305 73.23 70.96 54.0 64.9
1846 68.09 70.48 51.34 61.68
