SAMPLES RANDOM UCT VCT VRT CRT OPT
50 142.1 136.7 127.9 141.9 132.1 66.1
65 128.5 124.5 116.3 135.6 122.5 66.1
84 118.8 113.4 105.5 131.2 110.9 66.1
109 106.2 101.8 98.47 118.9 103.8 66.1
142 99.36 93.8 90.06 114.8 96.08 66.1
185 91.7 84.86 83.7 112.3 91.73 66.1
240 85.54 80.23 77.36 104.8 85.15 66.1
312 80.09 73.69 72.28 103.8 79.04 66.1
406 75.61 70.46 67.01 102.2 73.22 66.1
