 FACTOR  RND     CCT     QCT
 0.001   29.25   27.45   27.37
 .0032   29.23   27.42    27.5
  0.01    29.3   27.53   27.51
 .0316   29.29   27.45    27.4
   0.1   29.27   27.37   27.22
 .3162    29.2   27.28   27.24
   1.0   29.37   26.97   26.91
 3.162    29.4   26.61   26.24
  10.0   29.28   25.92   25.93
 31.62   29.28    25.8   25.98
 100.0   29.29   26.21   26.17
