SAMPLES RANDOM UCT VCT VRT CRT OPT
50 142.8 138.0 134.6 140.1 134.5 66.1
65 131.0 127.6 121.0 136.1 123.2 66.1
84 118.4 115.0 112.8 126.6 114.6 66.1
109 106.6 105.9 103.5 123.2 105.9 66.1
142 98.76 96.15 93.45 116.1 96.5 66.1
185 91.43 89.12 88.18 109.6 90.46 66.1
240 86.57 83.97 82.05 108.2 85.24 66.1
312 80.31 80.26 78.02 101.9 79.42 66.1
406 76.83 74.18 74.04 102.2 74.69 66.1
