SAMPLES RANDOM UCT VCT VRT CRT OPT
50 63.25 63.72 58.3 61.95 61.31 32.2
65 58.65 58.52 53.57 57.33 57.19 32.2
84 55.87 54.84 49.78 52.89 54.15 32.2
109 51.69 51.15 45.67 49.96 50.08 32.2
142 47.92 48.54 42.28 47.17 47.54 32.2
185 44.76 45.34 39.8 45.75 43.71 32.2
240 42.86 42.77 38.69 43.1 41.7 32.2
312 40.24 40.6 36.49 41.28 39.51 32.2
406 38.25 38.48 34.84 40.6 38.09 32.2
