SAMPLES RANDOM UCT VCT VRT CRT OPT
50 140.7 142.2 137.0 145.7 135.9 66.1
65 129.4 130.6 126.0 131.1 125.3 66.1
84 116.0 120.6 115.4 126.1 116.9 66.1
109 107.6 112.2 109.9 120.7 106.8 66.1
142 100.0 101.4 100.3 119.3 100.4 66.1
185 91.21 93.98 93.81 111.4 91.28 66.1
240 85.11 88.05 90.53 104.2 84.44 66.1
312 80.16 83.7 86.13 103.2 80.39 66.1
406 75.47 81.63 82.42 101.8 75.86 66.1
