 FACTOR  RND     RCT     UCT     GCT     QCT
 0.001   30.16   27.76   28.03    27.2   26.59
 .0032   30.14   27.49   27.83   27.37   26.77
  0.01   30.28   27.54   28.12   27.28   26.73
 .0316   30.27   27.71   27.86   27.04   26.76
   0.1   30.19   27.77   27.77   27.27   26.88
 .3162   30.08   27.76   27.61   27.59   26.83
   1.0   30.07   27.92   27.34   27.61   27.12
 3.162   30.41   27.86    27.2   27.36   26.92
  10.0   29.99   28.03   27.23   27.66   27.03
 31.62   30.17   28.61   28.13   28.89   28.03
