SAMPLES RANDOM UCT VCT VRT CRT OPT
50 143.5 133.5 126.7 143.3 128.0 66.1
65 129.0 120.6 114.3 136.3 118.3 66.1
84 117.0 109.4 104.8 127.3 108.8 66.1
109 108.9 100.1 97.09 119.7 100.6 66.1
142 98.12 91.54 89.73 114.2 95.18 66.1
185 93.04 85.44 83.62 110.2 87.38 66.1
240 85.48 80.75 78.82 108.4 81.39 66.1
312 79.43 74.99 74.06 104.4 79.07 66.1
406 76.7 70.82 71.47 99.68 73.61 66.1
