 FACTOR  RND     RCT     UCT     GCT     QCT
 0.001   27.91   25.41   27.21   25.31   25.54
 .0032   27.75   25.34   27.07   25.58   25.63
  0.01   27.71   25.41   26.99   25.56   25.53
 .0316   27.75   25.56   27.33   25.68    25.5
   0.1   27.81    25.3   27.06   25.51    25.6
 .3162   27.66   25.34   27.01   25.48   25.53
   1.0   27.76   25.58   26.85   25.68   25.39
 3.162   27.77   25.42   26.35   25.56   25.64
  10.0   27.77   25.34   25.57    25.5   25.71
 31.62   27.79   27.05   26.68   26.88   26.68
