SAMPLES RANDOM UCT VCT VRT CRT OPT
50 64.63 58.87 56.34 62.41 59.21 32.2
65 59.63 54.0 51.48 56.52 55.29 32.2
84 54.61 49.69 47.03 54.46 51.98 32.2
109 51.07 45.79 44.5 50.62 48.79 32.2
142 48.18 42.55 41.37 48.52 45.88 32.2
185 44.31 39.5 39.43 45.43 43.77 32.2
240 42.09 37.43 37.56 42.68 41.06 32.2
312 39.95 35.23 35.6 41.68 39.09 32.2
406 37.91 34.18 34.51 39.76 36.93 32.2
