SAMPLES RANDOM UCT VCT VRT CRT OPT
50 142.7 133.4 129.0 143.7 132.3 66.1
65 130.0 119.3 114.3 133.4 119.9 66.1
84 117.2 108.1 105.9 125.1 111.7 66.1
109 109.3 98.91 95.9 121.4 104.1 66.1
142 98.47 90.17 88.4 112.8 95.53 66.1
185 92.59 84.03 81.62 108.5 89.96 66.1
240 86.26 77.56 76.07 107.7 83.68 66.1
312 79.96 71.86 71.06 102.3 78.71 66.1
406 75.27 67.65 67.49 99.99 75.31 66.1
