SAMPLES RND RCT UCT GCT QCT
100 13.955 12.185 12.135 12.11 11.8
141 13.58 11.71 12.085 11.71 11.52
199 13.23 11.57 12.045 11.575 11.495
281 12.84 11.54 12.03 11.545 11.56
397 12.565 11.555 11.995 11.515 11.51
561 12.325 11.53 11.975 11.475 11.53
793 12.155 11.53 11.94 11.505 11.495
1121 12.025 11.47 12.025 11.51 11.515
1585 11.93 11.485 11.97 11.48 11.49
