 FACTOR  RND     RCT     UCT     GCT     QCT
 0.001   29.33    26.2   27.37   26.15    25.8
 .0032   29.31   25.89   27.44   26.27   25.89
  0.01   29.37   26.36   27.54   26.17   25.91
 .0316   29.23   26.08   27.49   26.21   25.88
   0.1   29.04   26.35   27.31   26.31   25.98
 .3162   29.33    26.1    27.1   26.53   26.02
   1.0   29.39   26.42   26.96   26.29   25.98
 3.162   29.31   26.42   26.52   26.19   25.96
  10.0   29.31   27.09    26.5   27.08   26.37
 31.62   29.49   27.88   27.79   28.48    27.7
