SAMPLES RANDOM UCT VCT VRT CRT OPT
50 64.25 59.8 55.23 60.6 60.85 32.2
65 60.0 55.51 51.28 56.97 57.21 32.2
84 54.65 50.42 46.82 54.69 52.73 32.2
109 50.69 46.52 44.32 50.03 49.93 32.2
142 47.2 43.0 40.84 47.54 46.48 32.2
185 45.05 40.3 38.33 44.95 43.84 32.2
240 42.27 37.81 36.44 43.47 41.92 32.2
312 39.8 35.4 34.37 41.7 38.87 32.2
406 38.02 34.46 33.47 40.33 37.82 32.2
