 FACTOR  RND     CCT     QCT
 0.001   28.39   27.25   27.11
 .0032   28.43    27.2   27.22
  0.01   28.43   27.13   27.13
 .0316   28.46   27.15   27.14
   0.1   28.45   27.14   27.15
 .3162   28.45   27.16   26.99
   1.0   28.44   26.85   26.71
 3.162    28.4   26.45    26.0
  10.0    28.4   25.74   25.62
 31.62   28.41    25.6   25.51
 100.0   28.41   25.72   25.51
