 FACTOR  RND     CCT     QCT
 0.001   30.13   28.03   28.16
 .0032   30.26   28.12   27.91
  0.01   30.12   28.05   27.92
 .0316   30.29    27.9   27.88
   0.1   30.05   27.83   27.77
 .3162   30.11    27.6    27.7
   1.0    30.1   27.47   27.45
 3.162   30.33   27.12   26.87
  10.0   30.13   26.79   26.99
 31.62   30.13   26.92   27.11
 100.0   30.13   27.44   27.52
