SAMPLES RANDOM UCT VCT VRT CRT OPT
50 139.8 141.6 141.6 145.0 137.8 66.1
65 128.3 130.0 129.8 136.9 125.8 66.1
84 118.4 121.4 118.5 127.4 117.1 66.1
109 108.6 115.6 111.7 120.7 105.9 66.1
142 99.24 105.8 105.1 115.2 99.82 66.1
185 92.0 99.34 103.2 110.4 92.03 66.1
240 85.16 92.48 96.74 107.5 86.21 66.1
312 80.11 87.07 93.14 103.3 79.09 66.1
406 76.08 83.07 91.28 102.9 75.88 66.1
