SAMPLES RANDOM UCT VCT VRT CRT OPT
50 63.91 62.76 57.05 62.34 61.25 32.2
65 59.35 57.08 52.35 57.42 56.86 32.2
84 54.82 53.47 47.98 54.4 52.9 32.2
109 50.78 48.55 44.13 50.51 50.32 32.2
142 46.9 45.3 41.32 48.35 47.12 32.2
185 44.49 42.27 38.98 45.42 43.78 32.2
240 42.45 40.01 37.12 43.37 41.63 32.2
312 39.83 37.81 35.64 41.92 40.12 32.2
406 37.81 36.14 34.12 40.58 37.64 32.2
