nsamples r_rnd r_ucb r_sve
4 0.0646317436711 0.0513084761599 0.0440969081211
8 0.0496582933105 0.0349742949204 0.030234643526
12 0.0366746270475 0.0268685236613 0.0229207511439
16 0.0311037782055 0.0229470930829 0.0190416898878
20 0.0248444703987 0.0189838084547 0.0157150276617
24 0.0208639349195 0.0163949945858 0.0139382454942
28 0.0183556305139 0.0142856117161 0.0123933079627
32 0.0171536129359 0.0126732035941 0.0113053127351
36 0.0156131807215 0.0111238513086 0.00979021145823
40 0.0131753683196 0.0106172617339 0.00966453431555
44 0.011968451444 0.00967531472391 0.00843186993713
48 0.0112846889571 0.00867297122467 0.00818556630366
52 0.0110855147652 0.00818268493349 0.00733587737993
56 0.0102897430021 0.00803897254114 0.00726878039705
60 0.00930268181593 0.00757494560412 0.00683180889879
64 0.00905065876015 0.00668657210821 0.00611589287136
68 0.00816586110985 0.0064594340944 0.00619029206275
72 0.0080763663669 0.00629773053326 0.00540177827332
76 0.00758931509538 0.0059275756216 0.00562877927661
