nsamples r_RND r_UCB r_UCBt r_GRD r_UVB r_UVB2
32 0.239991282485 0.155069192587 0.090191341953 0.0326557921943 0.028508147928 0.0690637545631
64 0.197624394529 0.0898473884196 0.0403223357216 0.0134761600529 0.0134346959654 0.0317275608167
96 0.146854365723 0.0586306135748 0.0192033172036 0.0111805948484 0.0113655280671 0.0244687353416
128 0.124558571271 0.042247957612 0.0153675763017 0.00880371814977 0.00942538416171 0.0164352953129
160 0.0945254308148 0.0336136039441 0.00914629121909 0.0101432102773 0.00892719006057 0.0135478547634
192 0.0821401512682 0.0240928538182 0.00831040435061 0.00729103072518 0.00900021839563 0.0119980383685
224 0.0643500508732 0.0182912039859 0.00758442682486 0.00710601146645 0.00977138010189 0.0107577405195
256 0.053547432516 0.0184515138156 0.00524149725654 0.00689700520884 0.00633724865499 0.00976293252636
288 0.0457295816297 0.0125396203086 0.00505717265352 0.00876025023742 0.00800213895549 0.0088296584839
