nsamples r_rnd r_ucb r_sve
2 0.0326018227214 0.0292419216069 0.0273834582559
4 0.0235958311054 0.0208146078939 0.0202574266056
6 0.018112345686 0.0166406997321 0.0161151236172
8 0.0158718703275 0.0140839111052 0.0134733914183
10 0.0126537111237 0.0123983164442 0.0111862665939
12 0.0120974596308 0.0107360163779 0.00958356008281
14 0.00955808010073 0.00946823272879 0.00922837784778
16 0.0083080691065 0.00916381244499 0.00808516190002
18 0.00791377293118 0.00801562319742 0.00656821589948
20 0.0072261413929 0.00676604891681 0.00693577220843
22 0.00697588371405 0.00707512698121 0.00612839431319
24 0.00644290076163 0.00655941287793 0.00575965327755
26 0.00611755233147 0.00595911979286 0.00514027549698
28 0.00582322475678 0.00540169604735 0.0053002373158
30 0.00549185214705 0.00515543574652 0.00509289982761
32 0.00467775132014 0.0047484410037 0.00513386218587
34 0.004551334049 0.00476176182632 0.00440356356658
36 0.00410215937699 0.00478537653533 0.0041088434197
38 0.00441884074502 0.00411467293009 0.00406107296296
