nsamples r_UCT r_GCT r_ECT
56 .0717625 .0671219 .0739531
84 .0423437 .0528844 .0418906
119 .0253312 .0427688 .0277219
175 .0215625 .0346375 .0220875
252 .0227875   0.0339 .0204719
357 .0202094 .0330719 .0193219
511 .0208344 .0255125 .0190563
728 0.016325 .0213125 .0151906
1036 .0131594 .0206594 .0131375
