nsamples r_UCB r_GRD r_UVB
32 0.153694610677 0.0810366133559 0.0293851402548
64 0.0974040743067 0.026882142009 0.0131135841044
96 0.0611952330416 0.0149328319646 0.0108732806857
128 0.0430284786355 0.0113671492748 0.0100869226479
160 0.0322212628694 0.00854934439292 0.00873475504608
192 0.0245548456197 0.00743825673333 0.0089800642821
224 0.0196203596462 0.0072761519358 0.0083520424302
256 0.0164041824328 0.00678774235235 0.00782347238298
288 0.0137136070263 0.00625109360353 0.007182301998
320 0.0114264802448 0.00623727797529 0.00707463439397
352 0.0105971021882 0.00574298027536 0.00697619972313
384 0.00889001868137 0.00553722083079 0.00675193944647
416 0.0083612618781 0.00502193224154 0.00622965246109
448 0.00740321300974 0.00524720933638 0.00645025526001
480 0.00627833300889 0.00469818760487 0.00607210771555
512 0.00593995057046 0.00459636179627 0.00588931126577
544 0.00594212113358 0.00427379887507 0.00563304020382
576 0.00484681993637 0.00422419207915 0.00541783678776
608 0.00485413749149 0.00416467185707 0.00547603073597
640 0.00436216499588 0.00412014025048 0.00505459943883
672 0.00426014261373 0.003927348158 0.0053858429695
704 0.00390646958165 0.00383251806765 0.0048333993477
736 0.00362531639866 0.00365003088802 0.00503678006876
768 0.00345598056334 0.00335544320001 0.00468203082223
800 0.00317222166152 0.00358844883648 0.00462867576401
832 0.00317642466452 0.00331446298127 0.00462101549455
864 0.00269567746222 0.00320319555256 0.00486836146871
896 0.00282978384282 0.00330366111396 0.00398671456813
928 0.00241602266727 0.0028766541635 0.00423905771048
960 0.00267658249355 0.00325621270873 0.00438357955976
992 0.00241884011654 0.00269751459531 0.00444648330202
