nsamples r_UCT r_GCT r_RCT
128 .1595939 .1084629 .1999521
192 .1323578 .0784427 .1751524
288 .0873257 .0574809 .1386735
416 .0552621 .0393685 .0997972
608 .0397343 .0326446 .0665099
864 .0284675 .0257054 .0474423
1248 .0224144 .0226005 .0343033
1792 .0147717 .0200211 .0257677
2560 .0116442 .0176991 .0205138
3648 0.007794 .0152221 .0160738
