nsamples r_UCB r_GRD r_UVB
128 0.274080485417 0.138696626845 0.0165213121015
256 0.232775467035 0.0129355734246 0.00487689110531
384 0.158443560314 0.00599374277538 0.00480976078481
512 0.104953206622 0.00478974632204 0.00405603374644
640 0.068820486495 0.00415527678712 0.00408808212499
768 0.051243572393 0.00429905656217 0.00417952516382
896 0.0378536226741 0.003421859521 0.00423886082741
1024 0.0306669248289 0.00382920983648 0.00445715285625
1152 0.0247698640804 0.00383055697477 0.00396197678148
1280 0.0194965148637 0.00351587088751 0.00405279271683
1408 0.0166260054641 0.00323249164621 0.00394340679487
1536 0.0141427189424 0.0032931756566 0.00411102071488
1664 0.0126328807909 0.00323160857586 0.00378632741627
1792 0.0105919645023 0.00309832393336 0.00394858342585
1920 0.00979189720838 0.00310308778733 0.00387668654705
2048 0.00825804890763 0.00310694704765 0.00382494409922
2176 0.00769346260839 0.00290645798978 0.00371425666437
2304 0.00690487005732 0.00277667488266 0.00378643662146
2432 0.00594816140826 0.00289349186345 0.00373808006322
2560 0.0056873338135 0.00254955759395 0.00353290738675
2688 0.00520007973931 0.00267609348506 0.0035818830341
2816 0.00475944880786 0.00262632182054 0.00331403512573
2944 0.00459711150428 0.00254188248323 0.00359971628851
3072 0.00409111594661 0.00230536447749 0.00350310279772
3200 0.00373989483736 0.00221527695397 0.00321047133651
