nsamples r_vct r_uct r_uvt r_random
4 0.16416681 0.34460032 0.28742155 0.26004314
5 0.1576031 0.31015104 0.30657423 0.26311538
6 0.12983327 0.3292721 0.30961555 0.25143883
8 0.10854774 0.28122354 0.27426356 0.27199134
10 0.09597284 0.28441966 0.28827813 0.26099098
13 0.062415194 0.25205448 0.2775469 0.2709137
17 0.038692072 0.221376 0.28448898 0.24652177
22 0.031080225 0.17796127 0.26669243 0.24638449
29 0.02130155 0.13330834 0.292531 0.24951744
38 0.017985098 0.07255263 0.27807322 0.24209324
49 0.020731708 0.062457267 0.2667775 0.24997458
64 0.01238807 0.03513158 0.26277888 0.2389322
