nsamples r_UCB r_GRD r_UVB
128 0.0855693960313 0.051004517482 0.0240075548683
256 0.0575611376589 0.0234480173985 0.00802535499984
384 0.0478261232066 0.0123541495566 0.00404212057558
512 0.0360085463441 0.00718071173004 0.00282853441885
640 0.0297248970104 0.00486112593254 0.00232651555529
768 0.0265266533506 0.00376172031904 0.00202659792231
896 0.0221082694145 0.0028350737544 0.00179399688275
1024 0.0195905920579 0.00238493092761 0.00172981236636
1152 0.0164082373034 0.00207920268111 0.00154058581371
1280 0.0151617295169 0.00192173071916 0.00155262557463
1408 0.0131612706288 0.00181682408054 0.00155442856199
1536 0.0117642748916 0.0017910862239 0.00139553392167
1664 0.0104906326914 0.00159315517644 0.00138102732059
1792 0.00973131011777 0.00155421714532 0.00134543085541
1920 0.00910775270088 0.00156016448276 0.00132855996496
2048 0.00827439306781 0.00147399547086 0.00128750539636
2176 0.00769208603136 0.00145588871341 0.00127195579227
2304 0.00753177465811 0.00141285434216 0.00126924507806
2432 0.0073301082141 0.00145753017763 0.00127189521773
2560 0.0073028314039 0.00136598421805 0.00124023018434
2688 0.00730890061103 0.00138693279968 0.00120935973433
2816 0.00721813864791 0.00136273799007 0.00125009414599
2944 0.00652525398555 0.00135507614729 0.00119835932641
3072 0.0063116075199 0.00129466516234 0.00120683399284
3200 0.00591955526405 0.00131396279884 0.00122977746894
