nsamples r_UCT r_GCT r_RCT
128 .1293959 .1008969 .1656977
192 .1146785 .0901923 .1375024
288  0.09201 .0756917 .1185068
416 .0725041 .0575792 .0985285
608 .0524117 .0420652 .0797298
864 0.041347 .0320777 .0622667
1248 .0305979 .0244312 0.045331
1792 .0229982 .0196038 .0318194
2560 .0161756 .0176638 .0259109
3648 .0128494 .0152052 .0211664
