nsamples r_UCB r_GRD r_UVB
64 0.176604320756 0.0879750012911 0.0247246522767
128 0.122307100664 0.0242438351021 0.00767194288978
192 0.0833324163304 0.0106003025345 0.00580580371385
256 0.0624368263146 0.00665967889966 0.00507709029631
320 0.0451120698463 0.00554116269149 0.00501441458247
384 0.0349908652744 0.00497667055066 0.00461557275748
448 0.0268631018494 0.00440144456058 0.00416945443539
512 0.0218021813252 0.0041703966548 0.00442446454583
576 0.0181051314434 0.0037193131077 0.00442602663424
640 0.0156625758638 0.00361099055525 0.00450707449669
704 0.0132039008359 0.00367591038867 0.00443873908964
768 0.0112283777323 0.00359005138028 0.00428259170653
832 0.0103445091017 0.00355628696195 0.00430093478334
896 0.00896122629624 0.00328174434904 0.00416804043199
960 0.00798829977887 0.00325834380945 0.0037342757983
1024 0.00714425440849 0.00319009540331 0.00405430650149
1088 0.00655293104298 0.00303796561134 0.00400362972367
