nsamples r_vct r_uct r_uvt r_random
4 0.18872954 0.30520463 0.2924766 0.25425342
6 0.1274699 0.2729404 0.2794075 0.23729998
8 0.09994872 0.272869 0.27528986 0.24382612
10 0.07763858 0.2421397 0.29099235 0.24749942
12 0.06324226 0.21699764 0.25855762 0.24669543
14 0.05294003 0.19690348 0.25543004 0.23284106
16 0.038693868 0.15991397 0.26967138 0.24013764
18 0.035423033 0.1541072 0.25383407 0.23553862
20 0.033367895 0.117591664 0.2678708 0.2334478
22 0.026939113 0.13593686 0.25908232 0.2391769
24 0.02955402 0.13201076 0.26888594 0.23528874
