nsamples r_UCT r_GCT r_ECT
64 .0572219 .0647281 .0591187
96 .0642937 .0527906 .0562125
136 .0263531 0.043475 .0276937
200 .0217687 .0347281 .0210688
288 .0181625 .0322094 0.017625
408 .0186438 .0331625 .0171594
584 .0180219 .0245969 0.016075
832 .0157531 .0188781 .0135094
1184 .0119344 .0180562  0.01135
