nsamples r_UCB r_GRD r_UVB
32 0.0693041610361 0.0414564912038 0.0207874080193
64 0.0445522588185 0.0203734964982 0.0108805420887
96 0.0328406491598 0.0122431036117 0.00803657135677
128 0.0245682268489 0.00903494822793 0.00636220075229
160 0.0197253625634 0.00697552029719 0.00573314787245
192 0.0154015820559 0.00610072438257 0.00511081705164
224 0.0131052231095 0.00507301452629 0.00491323140879
256 0.0103509868563 0.00473041870694 0.00458626860689
288 0.00950022586539 0.00414034980379 0.00426223200724
320 0.00835339953708 0.00405438173085 0.00438290047816
352 0.0075831551452 0.0038921104901 0.00403578987156
384 0.00637075592411 0.00367173770265 0.00404862374313
416 0.00563093548245 0.00345582428484 0.00398597275059
448 0.00543388681625 0.00336890457018 0.0038862156285
480 0.00484997542806 0.00342191784467 0.00380578924799
512 0.00490203721387 0.00314018564954 0.00367803286849
544 0.00442871644511 0.00307204898759 0.00374577042931
576 0.00422575949154 0.00309895341256 0.00368677186387
608 0.00405658295107 0.00301616440913 0.0034922094392
640 0.0039077914996 0.00297142161144 0.0033023998036
672 0.00379752684708 0.0029174228511 0.00338951655497
704 0.00373773706787 0.00284541671778 0.00323461640401
736 0.00345929508967 0.00278294194949 0.00334972118832
768 0.00352262347905 0.00273146771572 0.00320039609829
800 0.00315821007091 0.00261633231059 0.00304955228435
832 0.0029778382717 0.00270618517037 0.00302021046775
864 0.00285341848574 0.00246126453696 0.0031492590681
896 0.00281780311067 0.00254129864038 0.00297995667279
928 0.00255445845634 0.00246326209394 0.00313675415381
960 0.00259147094738 0.00231492982696 0.0031446569263
992 0.00235976509252 0.00243067480049 0.00283874494713
