nsamples r_vct r_uct r_uvt r_random
4 0.1153852 0.15038066 0.1755352 0.16172828
6 0.10135594 0.10043186 0.16428311 0.16728257
8 0.07581166 0.10828767 0.16375928 0.1660981
10 0.07123892 0.0937572 0.15671612 0.1606043
12 0.07334355 0.08384773 0.14655682 0.15800388
14 0.06395289 0.07970994 0.15836094 0.15471782
16 0.06104696 0.0688493 0.15388368 0.15567446
18 0.045681547 0.06276514 0.14926426 0.15358946
20 0.050426062 0.06037943 0.15402856 0.1484448
22 0.040841967 0.056307036 0.14664632 0.16374865
24 0.050196137 0.056940936 0.15708597 0.15690796
