nsamples r_UCT r_GCT r_RCT
128 .2154924 0.099647 .2920394
192 .1740646 .0656853 .2477545
288 .0674129 .0456102 .1734054
416 .0365869 .0386378 .0891547
608 .0202498 .0369443 .0448032
864 .0127264 .0321351 .0250725
1248 .0066686 0.029446 .0161145
1792 0.003684 0.025802 .0110086
2560 .0023212 .0221333 .0068175
3648 .0013461 .0185664 .0051543
