NSMPLS	MAXVOI	NGAMES	WIN_B	ERRW_B	WIN_W	ERRW_W
5000	.000000	1000	0.586	0.016	0.581	0.016
5000	.000001	1000	0.503	0.016	0.484	0.016
5000	.000010	1000	0.546	0.016	0.54	0.016
5000	.000100	1000	0.566	0.016	0.558	0.016
5000	.001000	1000	0.587	0.016	0.577	0.016
5000	.003000	1000	0.814	0.012	0.813	0.012
