NSMPLS	MAXVOI	NGAMES	WIN_B	ERRW_B	WIN_W	ERRW_W
5000	000001	1000	0.538	0.016	0.533	0.016
5000	0001	1000	0.518	0.016	0.511	0.016
5000	0010	1000	0.541	0.016	0.535	0.016
5000	0100	1000	0.565	0.016	0.56	0.016
5000	1000	1000	0.611	0.015	0.605	0.015
5000	3000	1000	0.801	0.013	0.8	0.013
