NSMPLS	MAXVOI	NGAMES	WIN_B	ERRW_B	WIN_W	ERRW_W
5000	.000000	1000	0.533	0.016	0.527	0.016
5000	.000001	1000	0.436	0.016	0.433	0.016
5000	.000010	1000	0.427	0.016	0.425	0.016
5000	.000100	1000	0.558	0.016	0.548	0.016
5000	.001000	1000	0.974	0.005	0.973	0.005
5000	.003000	1000	0.998	0.001	0.998	0.001
