NSMPLS	MAXVOI	NGAMES	WIN_B	ERRW_B	WIN_W	ERRW_W
7000	.000000	1000	0.518	0.016	0.516	0.016
7000	.000001	1000	0.425	0.016	0.417	0.016
7000	.000010	1000	0.547	0.016	0.54	0.016
7000	.000100	1000	0.55	0.016	0.541	0.016
7000	.001000	1000	0.594	0.016	0.592	0.016
7000	.003000	1000	0.912	0.009	0.908	0.009
