NSMPLS	MAXVOI	NGAMES	WIN_B	ERRW_B	WIN_W	ERRW_W
10000	.000000	1000	0.386	0.015	0.445	0.016
10000	.000001	1000	0.449	0.016	0.384	0.015
10000	.000010	1000	0.41	0.016	0.402	0.016
10000	.000100	1000	0.476	0.016	0.445	0.016
10000	.001000	1000	0.59	0.016	0.586	0.016
10000	.003000	1000	0.954	0.007	0.953	0.007
