NSMPLS	NGAMES	ERR	DUP	USED	RES_B	ERR_B	WIN_B	ERRW_B	UNKN_B	RES_W	ERR_W	WIN_W	ERRW_W	UNKN_W	RES_R	ERR_R	WIN_R	ERRW_R	UNKN_R
1000	1000	240	0	760	25.5	0.9	0.921	0.01	0.05	25	1	0.912	0.01	0.05	0	0	0.026	0.026	1
2000	1000	72	2	926	26.6	0.8	0.774	0.014	0.244	26	0.8	0.766	0.014	0.244	0	0	0.088	0.019	1
3000	840	14	0	826	25.6	0.8	0.782	0.014	0.36	25.8	0.8	0.78	0.014	0.36	0	0	0.394	0.028	1
4000	675	4	0	671	26.3	1.2	0.724	0.017	0.663	26.1	1.2	0.723	0.017	0.663	0	0	0.587	0.023	1
5000	553	6	0	547	27.1	1.9	0.751	0.018	0.819	26.4	1.8	0.751	0.018	0.819	0	0	0.696	0.022	1
7000	431	4	2	425	24.4	2.8	0.685	0.023	0.962	24.2	2.8	0.685	0.023	0.962	0	0	0.672	0.023	1
10000	313	2	0	311	34.5	0	0.723	0.025	0.997	34.5	0	0.723	0.025	0.997	0	0	0.723	0.025	1
